INFO 2024-10-03 15:22:35,370 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2024-10-03 15:22:35,371 basehttp "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2024-10-03 15:22:35,371 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2024-10-03 15:22:35,371 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2024-10-03 15:22:41,339 basehttp "GET /__debug__/render_panel/?store_id=41f1285726e740f4af2d6f2bf1890714&panel_id=TemplateTimings HTTP/1.1" 200 32
INFO 2024-10-03 15:22:53,258 basehttp "GET /admin/ HTTP/1.1" 200 29459
INFO 2024-10-03 15:22:53,280 basehttp "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 304 0
INFO 2024-10-03 15:22:53,280 basehttp "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 304 0
INFO 2024-10-03 15:22:53,291 basehttp "GET /static/debug_toolbar/css/print.css HTTP/1.1" 304 0
INFO 2024-10-03 15:22:53,344 basehttp "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 304 0
INFO 2024-10-03 15:23:00,260 basehttp "GET /data-browser HTTP/1.1" 301 0
INFO 2024-10-03 15:23:01,997 basehttp "GET /data-browser/ HTTP/1.1" 200 128308
INFO 2024-10-03 15:23:03,292 basehttp "GET /data-browser/static/css/main.c698af7a.css HTTP/1.1" 200 7820
INFO 2024-10-03 15:23:03,316 basehttp "GET /data-browser/static/js/main.c4ca9cb3.js HTTP/1.1" 200 330039
INFO 2024-10-03 15:23:04,804 basehttp "GET /data-browser/favicon-32x32.png HTTP/1.1" 200 648
INFO 2024-10-03 15:23:05,665 basehttp "GET /data-browser/api/views/ HTTP/1.1" 200 27
INFO 2024-10-03 15:23:05,910 basehttp "GET /__debug__/history_sidebar/?store_id=8d6b59c20ab643ebb2cd3b5411e33e4d HTTP/1.1" 200 8387
INFO 2024-10-03 15:23:13,017 basehttp "GET /data-browser/query/finances.Account/.query?&limit=1000 HTTP/1.1" 200 73
INFO 2024-10-03 15:23:13,207 basehttp "GET /__debug__/history_sidebar/?store_id=0c0efb1788ca44eeb14993fd8ab1db0a HTTP/1.1" 200 8363
INFO 2024-10-03 15:23:14,630 basehttp "GET /data-browser/query/finances.Account/.json?&limit=1000 HTTP/1.1" 200 122
INFO 2024-10-03 15:23:14,870 basehttp "GET /__debug__/history_sidebar/?store_id=3cff8d8a85fe409f9b3f014b55c80e55 HTTP/1.1" 200 8418
INFO 2024-10-03 15:23:19,235 basehttp "GET /data-browser/query/finances.Account/.sql?&limit=1000 HTTP/1.1" 200 33
INFO 2024-10-03 15:23:26,772 basehttp "GET /data-browser/query/finances.Account/active.json?&limit=1000 HTTP/1.1" 200 215
INFO 2024-10-03 15:23:26,971 basehttp "GET /__debug__/history_sidebar/?store_id=9156810b0f8e47eeb1ea90c0687af121 HTTP/1.1" 200 8423
INFO 2024-10-03 15:23:32,927 basehttp "GET / HTTP/1.1" 200 22641
INFO 2024-10-03 15:23:32,945 basehttp "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 304 0
INFO 2024-10-03 15:23:32,957 basehttp "GET /static/debug_toolbar/css/print.css HTTP/1.1" 304 0
INFO 2024-10-03 15:23:37,872 basehttp "GET /router/accounts/ HTTP/1.1" 200 25919
INFO 2024-10-03 15:23:45,894 basehttp "POST /router/accounts/ HTTP/1.1" 201 26036
INFO 2024-10-03 15:23:50,477 basehttp "POST /router/accounts/ HTTP/1.1" 201 26019
INFO 2024-10-03 15:23:59,468 basehttp "POST /router/accounts/ HTTP/1.1" 201 26008
